run_id,exported_at,cluster,flow,tool_name,status,iac_task_id,task_elapsed_seconds,module_elapsed_seconds,total_count,area_count,building_count,floor_count,device_count,role_counts,size_bytes,latest_file,history_file,error
2026-06-11_11-09-00,2026-06-11T18:12:30Z,IAC2,site,site_config,completed,379ece56-77ff-456e-ad15-341cedff738e,209.588,,172,41,38,93,,,37697,data/iac2/latest/site_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/site_playbook_config.yml,
2026-06-11_11-09-00,2026-06-11T18:18:11Z,IAC2,network_settings,network_settings_config,completed,d3388dda-8b8a-488e-9a10-0fe58cac4fbb,335.554,,4,,,,,,70090,data/iac2/latest/network_settings_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/network_settings_playbook_config.yml,
2026-06-11_11-09-00,2026-06-11T18:19:21Z,IAC2,tags,tags_config,completed,4b5a2088-3b7c-4243-bb98-208cb4caaa02,68.774,,2,,,,,,1670,data/iac2/latest/tags_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/tags_playbook_config.yml,
2026-06-11_11-09-00,2026-06-11T18:20:21Z,IAC2,inventory,inventory_config,completed,cc580390-d561-4867-8ba3-d88192504763,58.990,,28,,,,28,"{""ACCESS"": 17, ""BORDER ROUTER"": 4, ""DISTRIBUTION"": 3, ""UNKNOWN"": 4}",2035,data/iac2/latest/inventory_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/inventory_playbook_config.yml,
2026-06-11_11-09-00,2026-06-11T18:22:01Z,IAC2,discovery,discovery_config,completed,01334307-a908-4040-b687-d639946534ac,99.901,,25,,,,,,22917,data/iac2/latest/discovery_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/discovery_playbook_config.yml,
2026-06-11_11-09-00,2026-06-11T18:25:17Z,IAC2,template,template_config,completed,b8e1325b-1590-4659-9444-b0e43356d866,191.565,,131,,,,,,63042,data/iac2/latest/template_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/template_playbook_config.yml,
2026-06-11_11-09-00,2026-06-11T18:26:07Z,IAC2,pnp,pnp_config,completed,d92b7ab0-06a4-4de4-8198-a6504397f068,46.113,,1,,,,,,2036,data/iac2/latest/pnp_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/pnp_playbook_config.yml,
2026-06-11_11-09-00,2026-06-11T18:34:18Z,IAC2,wireless_design,wireless_design_config,completed,41247e3f-7465-4ca9-9225-f287beb7be87,487.331,,9,,,,,,140915,data/iac2/latest/wireless_design_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/wireless_design_playbook_config.yml,
2026-06-11_11-09-00,2026-06-11T18:35:43Z,IAC2,network_profile_switching,network_profile_switching_config,completed,f7a07d64-715d-45db-af1d-89210be2bef6,81.147,,9,,,,,,2194,data/iac2/latest/network_profile_switching_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/network_profile_switching_playbook_config.yml,
2026-06-11_11-09-00,2026-06-11T18:41:24Z,IAC2,network_profile_wireless,network_profile_wireless_config,completed,cfa725b7-ec4c-44d8-962e-0cd0e396826f,335.878,,44,,,,,,29962,data/iac2/latest/network_profile_wireless_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/network_profile_wireless_playbook_config.yml,
2026-06-11_11-09-00,2026-06-11T18:49:14Z,IAC2,user_role,user_role_config,completed,c79dcaf2-3a83-43eb-bc4d-ca12e037606f,466.440,,2,,,,,,13373,data/iac2/latest/user_role_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/user_role_playbook_config.yml,
2026-06-11_11-09-00,2026-06-11T18:50:19Z,IAC2,ise_radius_integration,ise_radius_integration_config,completed,5dab20e5-b918-4616-847a-c39bf62008c7,64.218,,1,,,,,,4660,data/iac2/latest/ise_radius_integration_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/ise_radius_integration_playbook_config.yml,
2026-06-11_11-09-00,2026-06-11T18:52:45Z,IAC2,device_credential,device_credential_config,completed,7a4c5378-49d3-4e4e-9c5f-3016835f3756,141.730,,3,,,,,,6008,data/iac2/latest/device_credential_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/device_credential_playbook_config.yml,
2026-06-11_11-09-00,2026-06-11T18:53:50Z,IAC2,provision,provision_config,completed,1b6511a8-e082-419c-a5b8-58ac22d63f81,60.569,,13,,,,,,3061,data/iac2/latest/provision_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/provision_playbook_config.yml,
2026-06-11_11-09-00,2026-06-11T18:54:55Z,IAC2,accesspoint,accesspoint_config,completed,f6316cd0-ff55-4180-a600-02d9b8770103,61.028,,3,,,,,,2953,data/iac2/latest/accesspoint_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/accesspoint_playbook_config.yml,
2026-06-11_11-09-00,2026-06-11T18:55:35Z,IAC2,accesspoint_location,accesspoint_location_config,failed,dec95caa-56dd-42c2-b26b-454c55a2bc99,37.477,,,,,,,,,data/iac2/latest/accesspoint_location_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/accesspoint_location_playbook_config.yml,Failed rc=2: Catalyst Center SDK/site_design has no get_access_points_positions API for floor AP positions.
2026-06-11_11-09-00,2026-06-11T19:09:11Z,IAC2,application_policy,application_policy_config,failed,ebf21437-0d6a-4d04-89e6-33f19931c4f4,812.320,,,,,,,,,data/iac2/latest/application_policy_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/application_policy_playbook_config.yml,Stopped after long-running/no progress in SDK call; task marked failed rc=None.
2026-06-11_11-09-00,2026-06-11T19:10:46Z,IAC2,assurance_issue,assurance_issue_config,completed,73da27cb-2724-485b-b6fe-ec964ec4d4a3,94.889,,1,,,,,,16188,data/iac2/latest/assurance_issue_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/assurance_issue_playbook_config.yml,
2026-06-11_11-09-00,2026-06-11T19:12:22Z,IAC2,assurance_device_health_score_settings,assurance_device_health_score_settings_config,completed,0b8d0b3c-edaa-4201-bea9-3902404be182,91.360,,1,,,,,,14103,data/iac2/latest/assurance_device_health_score_settings_playbook_config.yml,data/iac2/history/2026-06-11_11-09-00/assurance_device_health_score_settings_playbook_config.yml,
