run_id,exported_at,cluster,flow,tool_name,status,iac_task_id,task_elapsed_seconds,module_elapsed_seconds,total_count,area_count,building_count,floor_count,device_count,role_counts,size_bytes,latest_file,history_file,error
2026-06-19_02-19-24,2026-06-18T19:39:34Z,LAB-240,site,site_config,failed,a74ba060-ef30-405f-93bb-f122ccfe3831,1204.812,,,,,,,,,,,No generated YAML found in task detail
2026-06-19_02-19-24,2026-06-18T19:44:58Z,LAB-240,network_settings,network_settings_config,completed,04fc1987-e317-45e4-82e8-413d639b5397,324.609,,4,,,,,,50031,data/lab/latest/network_settings_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/network_settings_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T19:46:58Z,LAB-240,tags,tags_config,completed,3faae9da-d402-4581-a1d5-44346706e0ae,120.344,,2,,,,,,4578,data/lab/latest/tags_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/tags_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T20:07:03Z,LAB-240,inventory,inventory_config,failed,f941f06b-58b2-465e-8a4a-6b0c69274b28,1204.141,,,,,,,,,,,No generated YAML found in task detail
2026-06-19_02-19-24,2026-06-18T20:10:30Z,LAB-240,discovery,discovery_config,completed,06a51d29-fe26-4f01-ac13-1ef53f58a792,89.078,,105,,,,,,53286,data/lab/latest/discovery_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/discovery_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T20:13:19Z,LAB-240,template,template_config,completed,4006b023-f6e1-43c0-8ff1-7f90efc0bc8f,168.922,,120,,,,,,401245,data/lab/latest/template_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/template_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T20:13:54Z,LAB-240,pnp,pnp_config,completed,898d4b9d-3a2f-4f5a-b168-04e7938dea9f,34.609,,1,,,,,,5276,data/lab/latest/pnp_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/pnp_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T20:18:37Z,LAB-240,wireless_design,wireless_design_config,completed,3f6e0baa-91a4-4627-9613-4341ecfb0bb5,283.438,,6,,,,,,90177,data/lab/latest/wireless_design_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/wireless_design_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T20:23:18Z,LAB-240,network_profile_switching,network_profile_switching_config,completed,4cb2ad85-31ba-4695-9de5-ab6605591630,280.844,,10,,,,,,2324,data/lab/latest/network_profile_switching_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/network_profile_switching_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T20:27:16Z,LAB-240,network_profile_wireless,network_profile_wireless_config,failed,feaaeca7-381e-4715-9ef5-8f43f4be1d03,237.984,,,,,,,,,,,"{""iacTaskId"":""feaaeca7-381e-4715-9ef5-8f43f4be1d03"",""iacStatus"":""failed"",""iacStatusMessage"":""Workflow failed with status=failed rc=2"",""toolName"":""network_profile_wireless_config"",""moduleName"":""network_profile_wireless_playbook_config_generator"",""catalystCenter"":""LAB-240"",""iacCreatedAt"":""2026-06-18T20:23:19.165309+00:00"",""iacLastUpdatedAt"":""2026-06-18T20:27:11.637882+00:00"",""iacProgress"":100.0,""iacTotal"":100.0,""destructive"":false} | failed | Workflow failed with status=failed rc=2 | {""iacTaskId"":""feaaeca7-381e-4715-9ef5-8f43f4be1d03"",""iacStatus"":""failed"",""iacStatusMessage"":""Workflow failed with status=failed rc=2"",""iacCreatedAt"":""2026-06-18T20:23:19.165309+00:00"",""iacLastUpdatedAt"":""2026-06-18T20:27:11.637882+00:00"",""iacProgress"":100.0,""iacTotal"":100.0,""iacArtifactDir"":""/auto/cat-sol/ws/thievo/catalyst_center_iac_mcpserver/artifacts/feaaeca7-381e-4715-9ef5-8f43f4be1d03"",""iacRunnerIdent"":""feaaeca7-381e-4715-9ef5-8f43f4be1d03"",""toolName"":""network_profile_wireless_config"",""moduleName"":""net | No generated YAML found in task detail"
2026-06-19_02-19-24,2026-06-18T20:29:48Z,LAB-240,user_role,user_role_config,completed,c25a13ea-fbce-43bf-a54e-44844797402e,152.500,,39,,,,,,6504,data/lab/latest/user_role_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/user_role_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T20:30:23Z,LAB-240,ise_radius_integration,ise_radius_integration_config,completed,3adb3eb6-9e11-4767-89ee-c1fe7251941e,34.328,,1,,,,,,2299,data/lab/latest/ise_radius_integration_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/ise_radius_integration_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T20:40:25Z,LAB-240,device_credential,device_credential_config,failed,a0b93342-8e89-4ade-9eda-7c04af347a12,602.594,,,,,,,,,,,No generated YAML found in task detail
2026-06-19_02-19-24,2026-06-18T20:44:56Z,LAB-240,provision,provision_config,completed,8d8d2027-e0ac-40a5-b5df-bf1114569a22,270.500,,24,,,,,,4792,data/lab/latest/provision_playbook_config.yml,data/lab/history/2026-06-19_02-19-24/provision_playbook_config.yml,
2026-06-19_02-19-24,2026-06-18T20:54:58Z,LAB-240,accesspoint,accesspoint_config,failed,c970e13c-1b17-47dc-a53a-c6b526c68e78,602.391,,,,,,,,,,,No generated YAML found in task detail
